Date,Open,High,Low,Close,Adj Close,Volume
2/5/2018,0.0612525431310253,0.0383043925772028,0.0413314024507024,0.0445162624965569,0.0445162624965569,0.1861503489420934
2/6/2018,0.0300591140660526,0.0356397791503289,0.0302730577793941,0.0695484943724371,0.0695484943724371,0.1982642056914524
2/7/2018,0.0712431354129289,0.0484079100093964,0.0727696186609986,0.0670146855705293,0.0670146855705293,0.1356900847121639
2/8/2018,0.0723338145220512,0.0376826423385232,0.0412654502940927,0.0354295474242341,0.0354295474242341,0.141320249375436
2/9/2018,0.043474486740481,0.0114358241456306,0.0107285860867384,0.0340534197640073,0.0340534197640073,0.2729019759246402
2/12/2018,0.0397443489177752,0.0188746282264478,0.039066971791153,0.0525764119563338,0.0525764119563338,0.1279581304113725
2/13/2018,0.0509783655553172,0.0238930809956307,0.0515982926624739,0.0532753416479019,0.0532753416479019,0.098877602782534
2/14/2018,0.0579150672384694,0.042701095107706,0.0639757046492397,0.0701600996275316,0.0701600996275316,0.170151470819923
2/15/2018,0.0787688474421713,0.0662832665655572,0.0800246372933127,0.1013302118870068,0.1013302118870068,0.1664759358936847
2/16/2018,0.0977466901171982,0.0695252415466113,0.0977443674315714,0.0975076653907144,0.0975076653907144,0.1241060036045519
2/20/2018,0.0955870996726134,0.0780743534047551,0.0997669302801415,0.0975731925749099,0.0975731925749099,0.1146981577311752
2/21/2018,0.1050324178407023,0.0799174430867116,0.1072418121520992,0.1030121760316211,0.1030121760316211,0.1424352020332304
2/22/2018,0.1089806718530087,0.0751654445544738,0.0950182760727113,0.0966776835150674,0.0966776835150674,0.1341319210599668
2/23/2018,0.1026983492776731,0.0784962613003176,0.1024051330638897,0.1136934281494075,0.1136934281494075,0.1066095570833254
2/26/2018,0.1196038754690689,0.0999245023753119,0.1226311616726772,0.131670342270835,0.131670342270835,0.1579735562315292
2/27/2018,0.1327356279479612,0.1037216134806733,0.1305016839345024,0.123915992162137,0.123915992162137,0.1432212090311165
2/28/2018,0.1290927968065823,0.1001465701483018,0.1309194014454965,0.1255979563067513,0.1255979563067513,0.1126985143775222
3/1/2018,0.1283293083420474,0.0990362978996872,0.1156399494683234,0.1234355089891144,0.1234355089891144,0.1867736144029723
3/2/2018,0.1106602936861167,0.1122041112244447,0.1143209151300436,0.1467202189558126,0.1467202189558126,0.2112402463283605
3/5/2018,0.1503610394344674,0.1471333005918488,0.145913040224895,0.1771914015237198,0.1771914015237198,0.308899018876287
3/6/2018,0.1875095677098149,0.1668517468299661,0.1874642707395849,0.1995150752463799,0.1995150752463799,0.3009298774417723
